Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	147.97263	17.581203	 	1.070946	585.3818	 	 	 	 	 	 	 	 	 	 	 	 	 
2	147.87991	17.69452	 	1.067474	584.79065	 	 	 	 	 	 	 	 	 	 	 	 	 
3	147.78532	17.840929	 	1.0728813	585.0763	 	 	 	 	 	 	 	 	 	 	 	 	 
4	147.5563	17.960491	 	1.0684931	585.63354	 	 	 	 	 	 	 	 	 	 	 	 	 
5	147.31415	18.027653	 	1.0665529	585.2065	 	 	 	 	 	 	 	 	 	 	 	 	 
6	147.15968	18.111465	 	1.0719178	585.63696	 	 	 	 	 	 	 	 	 	 	 	 	 
7	147.07286	18.197632	 	1.0777028	585.6081	 	 	 	 	 	 	 	 	 	 	 	 	 
8	147.03642	18.281422	 	1.0782313	585.5816	 	 	 	 	 	 	 	 	 	 	 	 	 
9	146.94	18.285454	 	1.0816326	584.9864	 	 	 	 	 	 	 	 	 	 	 	 	 
10	146.85449	18.275158	 	1.0719178	585.71576	 	 	 	 	 	 	 	 	 	 	 	 	 
11	146.89746	18.331217	 	1.0665529	585.0631	 	 	 	 	 	 	 	 	 	 	 	 	 
12	146.78636	18.314545	 	1.0627118	584.91016	 	 	 	 	 	 	 	 	 	 	 	 	 
13	146.71687	18.29764	 	1.0719178	585.5788	 	 	 	 	 	 	 	 	 	 	 	 	 
14	146.71617	18.30109	 	1.0665529	585.12115	 	 	 	 	 	 	 	 	 	 	 	 	 
15	146.6105	18.305254	 	1.0704699	585.8154	 	 	 	 	 	 	 	 	 	 	 	 	 
16	146.58145	18.262896	 	1.0807561	585.2698	 	 	 	 	 	 	 	 	 	 	 	 	 
17	146.4592	18.257027	 	1.0728813	585.08307	 	 	 	 	 	 	 	 	 	 	 	 	 
18	146.44118	18.265612	 	1.0714285	584.58844	 	 	 	 	 	 	 	 	 	 	 	 	 
19	146.40218	18.27355	 	1.0743244	584.88513	 	 	 	 	 	 	 	 	 	 	 	 	 
20	146.26385	18.2693	 	1.075862	585.2138	 	 	 	 	 	 	 	 	 	 	 	 	 
21	146.24074	18.313007	 	1.0791246	585.08923	 	 	 	 	 	 	 	 	 	 	 	 	 
22	146.11789	18.339205	 	1.0646259	584.6871	 	 	 	 	 	 	 	 	 	 	 	 	 
23	146.10379	18.469315	 	1.0646259	584.6871	 	 	 	 	 	 	 	 	 	 	 	 	 
24	146.00272	18.604883	 	1.0680273	584.9558	 	 	 	 	 	 	 	 	 	 	 	 	 
25	145.84236	18.621952	 	1.0824916	585.3956	 	 	 	 	 	 	 	 	 	 	 	 	 
26	145.70987	18.700897	 	1.0791246	585.1633	 	 	 	 	 	 	 	 	 	 	 	 	 
27	145.68378	18.827026	 	1.0838926	585.69464	 	 	 	 	 	 	 	 	 	 	 	 	 
28	145.48563	18.897125	 	1.0757576	585.09595	 	 	 	 	 	 	 	 	 	 	 	 	 
29	145.29085	18.929085	 	1.0743244	585.61487	 	 	 	 	 	 	 	 	 	 	 	 	 
30	145.12007	18.999104	 	1.0661017	584.9	 	 	 	 	 	 	 	 	 	 	 	 	 
31	144.91435	19.08834	 	1.0694915	584.89325	 	 	 	 	 	 	 	 	 	 	 	 	 
32	144.70848	19.255415	 	1.0684931	585.3082	 	 	 	 	 	 	 	 	 	 	 	 	 
33	144.5081	19.417192	 	1.0641892	585.40204	 	 	 	 	 	 	 	 	 	 	 	 	 
34	144.36552	19.475632	 	1.0646259	585.1531	 	 	 	 	 	 	 	 	 	 	 	 	 
35	144.30666	19.660072	 	1.0728813	585.28644	 	 	 	 	 	 	 	 	 	 	 	 	 
36	144.28017	19.894995	 	1.0816326	585.5816	 	 	 	 	 	 	 	 	 	 	 	 	 
37	144.32826	20.211092	 	1.0719178	585.71576	 	 	 	 	 	 	 	 	 	 	 	 	 
38	144.44229	20.643372	 	1.0719178	584.476	 	 	 	 	 	 	 	 	 	 	 	 	 
39	144.34883	21.25134	 	1.0830508	585.839	 	 	 	 	 	 	 	 	 	 	 	 	 
40	144.56638	21.90177	 	1.0807561	585.2698	 	 	 	 	 	 	 	 	 	 	 	 	 
41	144.93707	22.75	 	1.0694915	585.1712	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	1.0773196	585.07733	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	1.0631399	584.8857	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	1.0719178	585.71234	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	1.0641892	584.3277	 	148.04286	13.02782	 	144.14696	42.19088	 	 	 	 	 	 	 
46	 	 	 	1.0757576	584.85016	 	148.99168	12.493949	*	143.77118	45.579662	*	 	 	 	 	 	 
47	 	 	 	1.0719063	585.29266	 	169.74428	9.690132	*	143.47437	49.455555	*	 	 	 	 	 	 
