Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6
Tracks 1 to 6
1,34.995697,69.404594, , , , , , , , , , , , , , , , 
2,35.491814,69.24591, , , , , , , , , , , , , , , , 
3,35.8078,69.707306, , , , , , , , , , , , , , , , 
4,36.211872,69.407715, , , , , , , , , , , , , , , , 
5,36.61388,69.74576, , , , , , , , , , , , , , , , 
6,36.943626,68.94257, , , , , , , , , , , , , , , , 
7,37.402843,68.97016, , , , , , , , , , , , , , , , 
8,37.7742,68.97503, , , , , , , , , , , , , , , , 
9,38.166553,69.30351, , , , , , , , , , , , , , , , 
10,38.609592,68.941444, , , , , , , , , , , , , , , , 
11,39.154057,69.12917, , , , , , , , , , , , , , , , 
12,39.715275,69.22356, , , , , , , , , , , , , , , , 
13,40.37151,69.102425, , , , , , , , , , , , , , , , 
14,41.147274,69.48371, , , , , , , , , , , , , , , , 
15,42.062336,69.33223, , , , , , , , , , , , , , , , 
16,43.079582,69.86954, , , , , , , , , , , , , , , , 
17,44.238094,70.43933, , , , , , , , , , , , , , , , 
18,45.689926,71.44963, , , , , , , , , , , , , , , , 
19,47.21935,72.40198, , , , , , , , , , , , , , , , 
20,48.683838,74.94441, , , , , , , , , , , , , , , , 
21,50.109272,77.134315, , , , , , , , , , , , , , , , 
22,51.667576,80.15394, , , , , , , , , , , , , , , , 
23,52.99704,84.15403, , , , , , , , , , , , , , , , 
24,54.420753,88.91596, , , , , , , , , , , , , , , , 
25,55.89523,94.66413, , , , , , , , , , , , , , , , 
26,71.779854,97.13446,*,33.30834,107.34763, , , , , , , , , , , , , 
27,74.475746,108.13249,*,33.325947,107.45004, , , , , , , , , , , , , 
28,77.25171,120.445885,*,33.341774,107.432755, , , , , , , , , , , , , 
29,79.87108,133.78786,*,33.2776,107.2816, , , , , , , , , , , , , 
30,82.531395,148.36215,*,33.405373,107.77025, , , , , , , , , , , , , 
31,85.231064,163.99388,*,33.3672,108.1328, , , , , , , , , , , , , 
32,87.929344,180.75272,*,33.419113,108.214516, , , , , , , , , , , , , 
33,90.688156,198.73326,*,33.35137,107.80452, , , , , , , , , , , , , 
34,93.46414,217.92532, ,33.28577,107.9422, , , , , , , , , , , , , 
35,96.172905,238.21715, ,33.283764,107.51286, , , , , , , , , , , , , 
36,98.89745,259.65552, ,33.221634,107.45918, , , , , , , , , , , , , 
37,101.73623,282.42035, ,33.29577,107.53173, , , , , , , , , , , , , 
38,104.326126,306.36893, ,33.293217,107.823906, , , , , , , , , , , , , 
39,107.13608,331.51355, ,33.20986,107.25061, , , , , , , , , , , , , 
40,109.90954,357.90234, ,33.209282,107.61238, , , , , , , , , , , , , 
41,112.65858,385.48743, ,33.177185,108.0178, , , , , , , , , , , , , 
42,115.493256,414.32275, ,33.25836,107.54849, , , , , , , , , , , , , 
43,118.32581,444.54288, ,33.1967,107.75744, , , , , , , , , , , , , 
44,121.07697,475.6977, ,33.12069,107.50164, , , , , , , , , , , , , 
45,123.87054,508.3674, ,33.151917,107.30851, , , , , , , , , , , , , 
46,126.68908,542.24036, ,33.21252,107.83279, , , , , , , , , , , , , 
47,129.60452,577.4389, ,33.163315,106.83166, , , , , , , , , , , , , 
48,132.32782,613.9698, ,33.163063,107.229614, , , , , , , , , , , , , 
49,135.14954,651.72925, ,33.079166,107.7, , , , , , , , , , , , , 
50,138.05705,690.7265, ,33.209732,107.630875, , , , , , , , , , , , , 
51,140.86229,731.13464, ,33.205193,107.662476, , , , , , , , , , , , , 
52,143.69086,772.8172, ,33.054806,107.61046, , , , , , , , , , , , , 
53,146.44313,815.7113, ,33.082214,107.47399, , , , , , , , , , , , , 
54,149.33348,860.0736, ,33.104115,107.84486, , , , , , , , , , , , , 
55,152.15033,906.3628, ,33.11247,107.51769, , , , , , , , , , , , , 
56,155.45702,919.5806, ,33.114548,107.12709, , , , , , , , , , , , , 
57,158.83672,891.86365, ,33.22477,108.376564, , , , , , , , , , , , , 
58,162.18816,859.3622, ,33.19783,107.783806, , , , , , , , , , , , , 
59,165.71407,828.056, ,33.242386,108.44403, , , , , , , , , , , , , 
60,169.25854,797.91016, ,33.410213,109.252884, , , , , , , , , , , , , 
61,172.78229,769.1828, ,33.29657,108.81618, , , , , , , , , , , , , 
62,176.2373,741.7662, ,33.368332,108.43166, , , , , , , , , , , , , 
63,179.62248,715.5923, ,33.2881,108.24735, , , , , , , , , , , , , 
64,183.12183,690.5131, ,33.28374,108.28536, , , , , , , , , , , , , 
65,186.58823,666.7263, ,33.36892,108.791016, , , , , , , , , , , , , 
66,190.0457,644.3123, ,33.231728,108.480896, , , , , , , , , , , , , 
67,193.37727,623.0401, ,33.272034,108.37203, , , , , , , , , , , , , 
68,196.88005,602.83215, ,33.2361,108.04025, , , , , , , , , , , , , 
69,200.3008,584.0437, ,33.35607,108.69218, , , , , , , , , , , , , 
70,203.63615,566.3143, ,33.35272,108.69498, , , , , , , , , , , , , 
71,207.09149,549.89874, ,33.305897,107.948814, , , , , , , , , , , , , 
72,210.53305,534.6027, ,33.1875,108.125824, , , , , , , , , , , , , 
73,213.89839,520.57355, ,33.371628,108.65617, , , , , , , , , , , , , 
74,217.39618,507.76022, ,33.23372,108.34171, , , , , , , , , , , , , 
75,220.68884,496.03867, ,33.337364,108.60926, , , , , , , , , , , , , 
76,224.22641,485.57007, ,33.25882,108.2703, , , , , , , , , , , , , 
77,227.5824,476.18085, ,33.245018,108.72093, , , , , , , , , , , , , 
78,230.92857,467.96103, ,33.271427,108.704895, , , , , , , , , , , , , 
79,234.46736,461.04715, ,33.29528,108.30624, , , , , , , , , , , , , 
80,237.83743,455.1662, ,33.335274,108.96755, , , , , , , , , , , , , 
81,241.37012,450.55496, ,33.24749,108.436455, , , , , , , , , , , , , 
82,244.7632,447.05374, ,33.254654,108.17005, , , , , , , , , , , , , 
83,248.14133,444.7722, ,33.27806,108.38523, , , , , , , , , , , , , 
84,251.81174,443.55347, ,33.19856,108.44327, , , , , , , , , , , , , 
85,255.14345,443.4317, ,33.20951,108.41088, , , , , , , , , , , , , 
86,258.7348,444.45105, ,33.2988,108.134415, , , , , , , , , , , , , 
87,262.1435,446.82108, ,33.275978,108.66184, , , , , , , , , , , , , 
88,265.8028,450.26608, ,33.238514,108.68463, , , , , , , , , , , , , 
89,269.42172,454.7831, ,33.23648,108.39442, , , , , , , , , , , , , 
90,272.87216,460.48187, ,33.194206,108.80238, , , , , , , , , , , , , 
91,276.44104,467.47324, ,33.107204,108.20926, , , , , , , , , , , , , 
92,280.06995,475.42328, ,33.2723,108.90102, , , , , , , , , , , , , 
93,283.7259,484.66208, ,33.249348,108.540764, , , , , , , , , , , , , 
94,287.32394,495.02634, ,33.2191,108.83016, , , , , , , , , , , , , 
95,290.86365,506.55957, ,33.235394,109.01718, , , , , , , , , , , , , 
96,294.60544,519.2963, ,33.18096,108.520584, , , , , , , , , , , , , 
97,298.24762,533.25037, ,33.086918,108.65232, , , , , , , , , , , , , 
98,301.88922,548.26807, ,33.11426,108.18213, , , , , , , , , , , , , 
99,305.6174,564.5594, ,33.222176,108.73037, , , , , , , , , , , , , 
100,309.42697,581.9923, ,33.165516,108.63742, , , , , , , , , , , , , 
101,313.0715,600.6313, ,33.157017,108.42368, , , , , , , , , , , , , 
